"shp_path","office_name","group_name","status","message"
"D:/NATIONAL NWFP GROUPS/Bumdelling Wildlife Sanctuary/Aja Illicium griffithii Management group/Aja Illicium griffithii Management group.shp","Bumdelling Wildlife Sanctuary","Aja Illicium griffithii Management group","OK","Read successfully"
"D:/NATIONAL NWFP GROUPS/Bumdelling Wildlife Sanctuary/Bumdir Herbal Tea Management Group/Bumdir Herbal Tea Management Group.shp","Bumdelling Wildlife Sanctuary","Bumdir Herbal Tea Management Group","OK","Read successfully"
"D:/NATIONAL NWFP GROUPS/Bumdelling Wildlife Sanctuary/Cheng NWFP Management Group/Cheng NWFP Management Group.shp","Bumdelling Wildlife Sanctuary","Cheng NWFP Management Group","OK","Read successfully"
"D:/NATIONAL NWFP GROUPS/Bumdelling Wildlife Sanctuary/Jabgang Cane (Plectocomia himalayana) NWFP group/Jabgang Cane (Plectocomia himalayana) NWFP group.shp","Bumdelling Wildlife Sanctuary","Jabgang Cane (Plectocomia himalayana) NWFP group","OK","Read successfully"
"D:/NATIONAL NWFP GROUPS/Bumdelling Wildlife Sanctuary/Longkhar NWFP management group/Longkhar NWFP management group.shp","Bumdelling Wildlife Sanctuary","Longkhar NWFP management group","OK","Read successfully"
"D:/NATIONAL NWFP GROUPS/Bumdelling Wildlife Sanctuary/Singyedzong Sangzey Management group/Singyedzong Sangzey Management group.shp","Bumdelling Wildlife Sanctuary","Singyedzong Sangzey Management group","OK","Read successfully"
"D:/NATIONAL NWFP GROUPS/DFO Bumthang/Namther Throgmen Tshogpa/Namther Throgmen Tshogpa.shp","DFO Bumthang","Namther Throgmen Tshogpa","OK","Read successfully"
"D:/NATIONAL NWFP GROUPS/DFO Dagana/Balung NWFP Management and marketing group/Balung NWFP Management and marketing group.shp","DFO Dagana","Balung NWFP Management and marketing group","OK","Read successfully"
"D:/NATIONAL NWFP GROUPS/DFO Dagana/Devitar Nagtshel Shingmen Tshogpa/Devitar Nagtshel Shingmen Tshogpa.shp","DFO Dagana","Devitar Nagtshel Shingmen Tshogpa","OK","Read successfully"
"D:/NATIONAL NWFP GROUPS/DFO Dagana/Dorjiphu Nagtshel Shingmen Tshogpa/Dorjiphu Nagtshel Shingmen Tshogpa.shp","DFO Dagana","Dorjiphu Nagtshel Shingmen Tshogpa","OK","Read successfully"
