SN,Group Name,Dzongkhag,Division/Park,Gewog,Village,Members (Nos),Female (Nos),Area (ha),Estd year,Revision Year,Plan Period,Plan Type,Contact Details,Species,Review Date,Review Status,Source Sheet,Source Row,Legacy Female (nos),Legacy Area (ha),Legacy Estd year,Legacy Revision,Legacy Plan Year,Legacy Contact Details,Legacy Species,Data Notes
1,Chungphel Shingmen Management Group,Bumthang,,Chumme,,42,,,2018,,,,,Tricholoma matsutake,,,Dzongkhag Wise-NWFP Groups,2,,2018,,,Tricholoma matsutake,,,Species parsed from legacy 'Plan Year' column.
2,Ye-Rang Khuenphen Bamboo Tshogpa,Bumthang,,Chumme,,37,,,2014,,,,,Borinda grossa,,,Dzongkhag Wise-NWFP Groups,3,,2014,,,Borinda grossa,,,Species parsed from legacy 'Plan Year' column.
3,Ura Mushroom Conservation and Marketing Group,Bumthang,,Ura,,183,,9401.36,2022,,2023-2027,,,"Tricholoma matsutake (Sangay Shamu, Ngala shamu, Jilli namchu, Sela Shamung)",,,Dzongkhag Wise-NWFP Groups,4,9401.36,2022,,2023-2027,"Tricholoma matsutake (Sangay Shamu, Ngala shamu, Jilli namchu, Sela Shamung)",,,Area parsed from legacy 'Female (nos)' column. | Female (Nos) left blank because sheet 1 legacy column F is not reliably female-count data. | Species parsed from legacy 'Plan Year' column.
4,Tshamdrok Tshosum Shingmen Detshen,Bumthang,,Choekhor,,185,,89044,2024,,2024-2034,,,all high value medicinal plants,,,Dzongkhag Wise-NWFP Groups,5,89044,2024,,2024-2034,all high value medicinal plants,,,Area parsed from legacy 'Female (nos)' column. | Female (Nos) left blank because sheet 1 legacy column F is not reliably female-count data. | Species parsed from legacy 'Plan Year' column.
5,Tangpa Shingmein Menrig Detshen,Bumthang,,Tang,,47,,13424.95,2024,,2024-2034,,,"Neopicrorhiza scrophulariifolia, Nardostachys jatamansi, Rhododendron anthopogon, Rhododendron setosum, Aconitum spp., Panax psuedogenseng, Meconopsis spp., Dactylorhiza hatagirea, Exidia recisa, Maianthemum oleraceum, Allium pratii, Allium rhabdotum, Hippophae rhamnoides, Drosera peltata, Juniperus spp., Pleurospermum amabile, Tsuga dumosa, Thamnolia vermicularis, Fritillaria cirrhosa, Gerardiana spp.",,,Dzongkhag Wise-NWFP Groups,6,13424.95,2024,,2024-2034,"Neopicrorhiza scrophulariifolia, Nardostachys jatamansi, Rhododendron anthopogon, Rhododendron setosum, Aconitum spp., Panax psuedogenseng, Meconopsis spp., Dactylorhiza hatagirea, Exidia recisa, Maianthemum oleraceum, Allium pratii, Allium rhabdotum, Hippophae rhamnoides, Drosera peltata, Juniperus spp., Pleurospermum amabile, Tsuga dumosa, Thamnolia vermicularis, Fritillaria cirrhosa, Gerardiana spp.",,,Area parsed from legacy 'Female (nos)' column. | Female (Nos) left blank because sheet 1 legacy column F is not reliably female-count data. | Species parsed from legacy 'Plan Year' column.
6,Betar NWFP Group,Chukha,,Sampheling,,16,,2.023,2018,2023,2023-2028,,Solely harvested from SRFL,"Thysanolaena spp., Bamboo",,,Dzongkhag Wise-NWFP Groups,7,2.023,2018,2023,2023-2028,"Thysanolaena spp., Bamboo",Solely harvested from SRFL,,Area parsed from legacy 'Female (nos)' column. | Female (Nos) left blank because sheet 1 legacy column F is not reliably female-count data. | Species parsed from legacy 'Plan Year' column.
7,Drudingsa NWFP management and marketing plan,Chukha,,Dungna,,32,,10,2017,,2020-2023 (Plan expired),,,Plectocomia himalayana,,,Dzongkhag Wise-NWFP Groups,8,10,2017,,2020-2023 (Plan expired),Plectocomia himalayana,,,Area parsed from legacy 'Female (nos)' column. | Female (Nos) left blank because sheet 1 legacy column F is not reliably female-count data. | Species parsed from legacy 'Plan Year' column.
8,Metakha NWFP Management and Marketing Group,Chukha,,Metekha,,9,,,2017,,"2017-2020, Plan expired",,,Plectocomia himalayana,,,Dzongkhag Wise-NWFP Groups,9,,2017,,"2017-2020, Plan expired",Plectocomia himalayana,,,Species parsed from legacy 'Plan Year' column.
9,Modokha NWFP management and marketing group,Chukha,,Dungna,,20,,25,2017,,"2020-2023, Plan expired",,,Plectocomia himalayana,,,Dzongkhag Wise-NWFP Groups,10,25,2017,,"2020-2023, Plan expired",Plectocomia himalayana,,,Area parsed from legacy 'Female (nos)' column. | Female (Nos) left blank because sheet 1 legacy column F is not reliably female-count data. | Species parsed from legacy 'Plan Year' column.
10,Sarphu Broom Grass Management Group,Chukha,,Darla,,14,,6,2012,"2018, 2024",2024-2034,,Solely harvested from PRL and SRFL,"Thysanolaena spp, Pipla, Bamboo",,,Dzongkhag Wise-NWFP Groups,11,6,2012,"2018, 2024",2024-2034,"Thysanolaena spp, Pipla, Bamboo",Solely harvested from PRL and SRFL,,Area parsed from legacy 'Female (nos)' column. | Female (Nos) left blank because sheet 1 legacy column F is not reliably female-count data. | Species parsed from legacy 'Plan Year' column.
