parent_unit,unit_type,group_name,folder_path,shp_path,has_shapefile,tree_key
Bumdelling Wildlife Sanctuary,PA,Aja Illicium griffithii Management group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Aja Illicium griffithii Management group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Aja Illicium griffithii Management group\Aja Illicium griffithii Management group.shp,True,ajailliciumgriffithiimanagementgroup
Bumdelling Wildlife Sanctuary,PA,Bumdir Herbal Tea Management Group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Bumdir Herbal Tea Management Group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Bumdir Herbal Tea Management Group\Bumdir Herbal Tea Management Group.shp,True,bumdirherbalteamanagementgroup
Bumdelling Wildlife Sanctuary,PA,Cheng NWFP Management Group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Cheng NWFP Management Group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Cheng NWFP Management Group\Cheng NWFP Management Group.shp,True,chengnwfpmanagementgroup
Bumdelling Wildlife Sanctuary,PA,Jabgang Cane (Plectocomia himalayana) NWFP group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Jabgang Cane (Plectocomia himalayana) NWFP group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Jabgang Cane (Plectocomia himalayana) NWFP group\Jabgang Cane (Plectocomia himalayana) NWFP group.shp,True,jabgangcaneplectocomiahimalayananwfpgroup
Bumdelling Wildlife Sanctuary,PA,Longkhar NWFP management group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Longkhar NWFP management group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Longkhar NWFP management group\Longkhar NWFP management group.shp,True,longkharnwfpmanagementgroup
Bumdelling Wildlife Sanctuary,PA,Singyedzong Sangzey Management group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Singyedzong Sangzey Management group,D:\National NWFP Groups\Bumdelling Wildlife Sanctuary\Singyedzong Sangzey Management group\Singyedzong Sangzey Management group.shp,True,singyedzongsangzeymanagementgroup
DFO Bumthang,DFO,Namther Throgmen Tshogpa,D:\National NWFP Groups\DFO Bumthang\Namther Throgmen Tshogpa,D:\National NWFP Groups\DFO Bumthang\Namther Throgmen Tshogpa\Namther Throgmen Tshogpa.shp,True,namtherthrogmentshogpa
DFO Dagana,DFO,Balung NWFP Management and marketing group,D:\National NWFP Groups\DFO Dagana\Balung NWFP Management and marketing group,D:\National NWFP Groups\DFO Dagana\Balung NWFP Management and marketing group\Balung NWFP Management and marketing group.shp,True,balungnwfpmanagementandmarketinggroup
DFO Dagana,DFO,Devitar Nagtshel Shingmen Tshogpa,D:\National NWFP Groups\DFO Dagana\Devitar Nagtshel Shingmen Tshogpa,D:\National NWFP Groups\DFO Dagana\Devitar Nagtshel Shingmen Tshogpa\Devitar Nagtshel Shingmen Tshogpa.shp,True,devitarnagtshelshingmentshogpa
DFO Dagana,DFO,Dorjiphu Nagtshel Shingmen Tshogpa,D:\National NWFP Groups\DFO Dagana\Dorjiphu Nagtshel Shingmen Tshogpa,D:\National NWFP Groups\DFO Dagana\Dorjiphu Nagtshel Shingmen Tshogpa\Dorjiphu Nagtshel Shingmen Tshogpa.shp,True,dorjiphunagtshelshingmentshogpa
DFO Gedu,DFO,Betar NWFP Group,D:\National NWFP Groups\DFO Gedu\Betar NWFP Group,D:\National NWFP Groups\DFO Gedu\Betar NWFP Group\Betar NWFP Group.shp,True,betarnwfpgroup
DFO Gedu,DFO,Sarphu Broom Grass Management Group,D:\National NWFP Groups\DFO Gedu\Sarphu Broom Grass Management Group,D:\National NWFP Groups\DFO Gedu\Sarphu Broom Grass Management Group\Sarphu Broom Grass Management Group.shp,True,sarphubroomgrassmanagementgroup
DFO Mongar,DFO,Balam Shingmen Detshen,D:\National NWFP Groups\DFO Mongar\Balam Shingmen Detshen,D:\National NWFP Groups\DFO Mongar\Balam Shingmen Detshen\Balam Shingmen Detshen.shp,True,balamshingmendetshen
DFO Mongar,DFO,Broksar Shingmen Thuenkhen Detshen,D:\National NWFP Groups\DFO Mongar\Broksar Shingmen Thuenkhen Detshen,D:\National NWFP Groups\DFO Mongar\Broksar Shingmen Thuenkhen Detshen\Broksar Shingmen Thuenkhen Detshen.shp,True,broksarshingmenthuenkhendetshen
DFO Mongar,DFO,Mangling Ragwang Chithuen Shingmen Detshen,D:\National NWFP Groups\DFO Mongar\Mangling Ragwang Chithuen Shingmen Detshen,D:\National NWFP Groups\DFO Mongar\Mangling Ragwang Chithuen Shingmen Detshen\Mangling Ragwang Chithuen Shingmen Detshen.shp,True,manglingragwangchithuenshingmendetshen
DFO Mongar,DFO,Ngatshang NWFP Management and Marketing Group,D:\National NWFP Groups\DFO Mongar\Ngatshang NWFP Management and Marketing Group,D:\National NWFP Groups\DFO Mongar\Ngatshang NWFP Management and Marketing Group\Ngatshang NWFP Management and Marketing Group.shp,True,ngatshangnwfpmanagementandmarketinggroup
DFO Mongar,DFO,Tsangkhar Shingmen Detsen,D:\National NWFP Groups\DFO Mongar\Tsangkhar Shingmen Detsen,D:\National NWFP Groups\DFO Mongar\Tsangkhar Shingmen Detsen\Tsangkhar Shingmen Detsen.shp,True,tsangkharshingmendetsen
DFO Mongar,DFO,Yengkhartsheng NWFP marketing and management group,D:\National NWFP Groups\DFO Mongar\Yengkhartsheng NWFP marketing and management group,,False,yengkhartshengnwfpmarketingandmanagementgroup
DFO Paro,DFO,Drakey Chinto Ngomen Tshogpa,D:\National NWFP Groups\DFO Paro\Drakey Chinto Ngomen Tshogpa,D:\National NWFP Groups\DFO Paro\Drakey Chinto Ngomen Tshogpa\Drakey Chinto Ngomen Tshogpa.shp,True,drakeychintongomentshogpa
DFO Pemagatshel,DFO,Bongman NWFP management and marketing group,D:\National NWFP Groups\DFO Pemagatshel\Bongman NWFP management and marketing group,D:\National NWFP Groups\DFO Pemagatshel\Bongman NWFP management and marketing group\Bongman NWFP management and marketing group.shp,True,bongmannwfpmanagementandmarketinggroup
